hard,title,maker,date,sales,ruikei,year,url
SFC,RPGツクール2,アスキー,1996/1/31,234923,234923,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=RPG%E3%83%84%E3%82%AF%E3%83%BC%E3%83%AB2&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,バーチャコップ2,セガ,1996/11/22,231994,231994,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%90%E3%83%BC%E3%83%81%E3%83%A3%E3%82%B3%E3%83%83%E3%83%972&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,ソウルエッジ,ナムコ,1996/12/20,231100,231100,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%BD%E3%82%A6%E3%83%AB%E3%82%A8%E3%83%83%E3%82%B8&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,Jリーグ プロサッカークラブをつくろう！,セガ,1996/2/23,228304,228304,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=J%E3%83%AA%E3%83%BC%E3%82%B0+%E3%83%97%E3%83%AD%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E3%82%AF%E3%83%A9%E3%83%96%E3%82%92%E3%81%A4%E3%81%8F%E3%82%8D%E3%81%86%EF%BC%81&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,FORMULA1,SCE,1996/12/13,225821,225821,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=FORMULA1&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,同級生～if～,NECインターチャネル,1996/8/9,222614,222614,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E5%90%8C%E7%B4%9A%E7%94%9F%E3%80%9Cif%E3%80%9C&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,ガーディアンヒーローズ,セガ,1996/1/26,216059,216059,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%AC%E3%83%BC%E3%83%87%E3%82%A3%E3%82%A2%E3%83%B3%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%BA&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,バーチャファイターキッズ,セガ,1996/7/26,210824,210824,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%90%E3%83%BC%E3%83%81%E3%83%A3%E3%83%95%E3%82%A1%E3%82%A4%E3%82%BF%E3%83%BC%E3%82%AD%E3%83%83%E3%82%BA&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,グレイテストナイン'96,セガ,1996/7/19,202374,202374,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B0%E3%83%AC%E3%82%A4%E3%83%86%E3%82%B9%E3%83%88%E3%83%8A%E3%82%A4%E3%83%B3%2796&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,ナムコミュージアムVOL.2,ナムコ,1996/2/9,202237,202237,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%8A%E3%83%A0%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0VOL.2&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,スマッシュコート,ナムコ,1996/9/6,200047,200047,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%83%9E%E3%83%83%E3%82%B7%E3%83%A5%E3%82%B3%E3%83%BC%E3%83%88&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,ルナ シルバースターストーリー,角川書店,1996/10/25,200035,200035,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%AB%E3%83%8A+%E3%82%B7%E3%83%AB%E3%83%90%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AA%E3%83%BC&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,ワイルドアームズ,SCE,1996/12/20,195940,195940,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%AF%E3%82%A4%E3%83%AB%E3%83%89%E3%82%A2%E3%83%BC%E3%83%A0%E3%82%BA&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,新世紀エヴァンゲリオン,セガ,1996/3/1,191555,191555,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E6%96%B0%E4%B8%96%E7%B4%80%E3%82%A8%E3%83%B4%E3%82%A1%E3%83%B3%E3%82%B2%E3%83%AA%E3%82%AA%E3%83%B3&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,首都高バトル ドリフトキング土屋圭市＆坂東正明,元気,1996/5/3,190828,190828,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E9%A6%96%E9%83%BD%E9%AB%98%E3%83%90%E3%83%88%E3%83%AB+%E3%83%89%E3%83%AA%E3%83%95%E3%83%88%E3%82%AD%E3%83%B3%E3%82%B0%E5%9C%9F%E5%B1%8B%E5%9C%AD%E5%B8%82%EF%BC%86%E5%9D%82%E6%9D%B1%E6%AD%A3%E6%98%8E&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,Over Blood,リバーヒルソフト,1996/8/2,190706,190706,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=Over+Blood&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,ぷよぷよ通 決定盤,コンパイル,1996/11/15,190119,190119,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%81%B7%E3%82%88%E3%81%B7%E3%82%88%E9%80%9A+%E6%B1%BA%E5%AE%9A%E7%9B%A4&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,COOL BOARDERS,ウェップシステム,1996/8/30,189781,189781,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=COOL+BOARDERS&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SFC,ガンハザード,スクウェア,1996/2/23,184044,184044,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%AC%E3%83%B3%E3%83%8F%E3%82%B6%E3%83%BC%E3%83%89&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,チョロQ,タカラ,1996/3/22,183818,183818,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%81%E3%83%A7%E3%83%ADQ&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,ラングリッサーIII スペシャルパッケージ,メサイヤ,1996/10/18,179719,179719,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%A9%E3%83%B3%E3%82%B0%E3%83%AA%E3%83%83%E3%82%B5%E3%83%BCIII+%E3%82%B9%E3%83%9A%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%91%E3%83%83%E3%82%B1%E3%83%BC%E3%82%B8&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,NOёL (ノエル),パイオニアLDC,1996/7/26,178708,178708,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=NO%D1%91L+%28%E3%83%8E%E3%82%A8%E3%83%AB%29&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SFC,スターオーシャン,エニックス,1996/7/19,175861,175861,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%B3&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,GUNGRIFFON -THE EURASIAN CONFLICT-,ゲームアーツ,1996/3/15,173665,173665,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=GUNGRIFFON+-THE+EURASIAN+CONFLICT-&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,ポリスノーツ,KONAMI,1996/1/19,167269,167269,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%9D%E3%83%AA%E3%82%B9%E3%83%8E%E3%83%BC%E3%83%84&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,ときめきメモリアル プライベートコレクション,KONAMI,1996/4/26,167155,167155,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%81%A8%E3%81%8D%E3%82%81%E3%81%8D%E3%83%A1%E3%83%A2%E3%83%AA%E3%82%A2%E3%83%AB+%E3%83%97%E3%83%A9%E3%82%A4%E3%83%99%E3%83%BC%E3%83%88%E3%82%B3%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,クロックタワー2,ヒューマン,1996/12/13,165761,165761,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%AF%E3%83%AD%E3%83%83%E3%82%AF%E3%82%BF%E3%83%AF%E3%83%BC2&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,ドラゴンボールZ 偉大なるドラゴンボール伝説,バンダイ,1996/5/31,164494,164494,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%83%9C%E3%83%BC%E3%83%ABZ+%E5%81%89%E5%A4%A7%E3%81%AA%E3%82%8B%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%83%9C%E3%83%BC%E3%83%AB%E4%BC%9D%E8%AA%AC&tag=zoocar-22&link_code=wql&_encoding=UTF-8
